ID_enunciado,ID_hablante,Tipo,archivo_wav,texto_aimara,texto_español,tipo_evidencialidad,duracion_seg,snr_db,calidad_audio,genero,edad,dialect_region
92,SPK00092,oración,SPK00092_00092.wav,"Kullakajaxa uma umaski, Taykaxa mank'a aljaski, Phisixa aycha laubrunasij, Nayaxa wawanakaru celulara yatichtha, Jupax anuru mank'a churi "," Kullakajaxa uma umaski, Taykaxa mank'a aljaski, Phisixa aycha laubrunasij, Nayaxa wawanakaru celulara yatichtha, Jupax anuru mank'a churi ",cotidiano,10.49,35,buena,F,55,norte
93,SPK00093,dialogo,SPK00093_00093.wav,"Khitirus juph aljta, Mama Rosaruw juph aljta, Kullamatakit is apanirapi, Jisa, jupatakiw apanirapi.","¿A quién vendiste la quinua?, Vendí la quinua a doña Rosa, ¿Ha traído ropa para tu hermana?, Sí, ha traído para ella.",cotidiano,11.70,35,buena,F,22,norte
94,SPK00094,dialogo,SPK00094_00094.wav,"Kuns lurta, Nayax qhath sarta, Khitimpis sarta, Kullakamampiwa. ","¿Qué hiciste?, Yo fui al mercado, ¿Con quién fuiste?, Con tu hermana.",cotidiano,7.10,35,buena,F,22,norte
95,SPK00095,dialogo,SPK00095_00095.wav,"Kuns lurta, Nayax qhath sarta, Khitimpis sarta, Kullakamampiwa. ","¿Qué hiciste?, Yo fui al mercado, ¿Con quién fuiste?, Con tu hermana.",cotidiano,7.22,35,buena,F,22,norte
96,SPK00096,dialogo,SPK00096_00096.wav,"Kuns lurta, Nayax qhath sarta, Khitimpis sarta, Kullakamampiwa. ","¿Qué hiciste?, Yo fui al mercado, ¿Con quién fuiste?, Con tu hermana.",cotidiano,06.01,35,buena,F,22,norte
97,SPK00097,oración,SPK00097_00097.wav,"Jupax um umiti, Janiw jupax um umkiti, Jumax ch'uq altati, Janiw nayax ch'uq alktti.","Él/ella bebe agua, No, él/ella no bebe agua, ¿Compraste papa?, No, no la compré.",cotidiano,10.10,35,buena,M,65,norte
98,SPK00098,oración,SPK00098_00098.wav,"Jupax um umiti, Janiw jupax um umkiti, Jumax ch'uq altati, Janiw nayax ch'uq alktti.","Él/ella bebe agua, No, él/ella no bebe agua, ¿Compraste papa?, No, no la compré.",cotidiano,10.55,35,buena,F,22,norte
99,SPK00099,oración,SPK00099_00099.wav,"Nayax(a) ut(a) sart(a) ti, Jumax(a) ut(a) sartta ti, Jupax(a) ut(a) sarti ti, Jiwasax(a) ut(a) sarttan ti, Nanakax(a) ut(a) sartapxt ti, Jumanakax(a) ut(a) sartapxta ti, Jupanakax(a) ut(a) sartapxi ti, Jiwasanakax(a) ut(a) sartapxtan ti.","¿Yo voy a la casa?, ¿Tú/vos vas a la casa?, ¿Él/ella va a la casa?, ¿Nosotros(as) vamos a la casa?, ¿Nosotros(as) vamos a la casa?, ¿Ustedes van a la casa?, ¿Ellos(as) van a la casa?, ¿Nosotros(as) vamos a la casa?",cotidiano,17.85,35,buena,F,22,norte
100,SPK00100,oración,SPK00100_00100.wav,"Juliox parlaskiwa, Jiwasaw Europar sartan.","Julio está hablando, Nosotros/as vamos/fuimos a Europa.",cotidiano,4.98,35,buena,F,22,norte
101,SPK00101,dialogo,SPK00101_00101.wav,"Jumax ch’uq altati, Jisa, nayax ch’uq altwa, Jumat ch’uq alta, Jisa, nayawa.","¿Tú compras papa?, Sí, yo compro papa, ¿Tú compraste la papa?, Sí, yo la compré.",cotidiano,9.78,35,buena,F,22,norte
102,SPK00102,oración,SPK00102_00102.wav,"Nayaxa wawanakaru celulara taypita yatichtha, Jisk’a yuqallanakaxa suma sixurïpxi, Yatichirixa alluxa qulla mallkita yatiyatayna, Jisk’a imillanakaxa ma jawariña ullapxi, Aukinaka taykanaka aymara aurna waruripxäni","Yo enseño a los niños por medio del celular, Los niños pequeños dibujan bonito, El profesor había investigado sobre varias las plantas medicinales, Las niñas pequeñas leen un cuento, Los padres de familia cantarán en idioma aimara.",cotidiano,23.22,35,buena,F,22,norte
103,SPK00103,oración,SPK00103_00103.wav,"Awichaxa atipasiñataki jarawïpxi, Uka tawaquxa chupika piluta takitayna, Khaya waynaxa ma larusiña yatiyawi qillqana, Llatunka marani imillaxa qulluna t’ijüni, Nayaxa ullaña pankana suma pankaranaka samichtha.","La abuelita recíta para el concurso, Esa señorita había pateado la pelota roja, Ese joven ha escrito un chiste, La niña de nueve años correrá en el cerro, Yo pinto en mi libro bonitas flores",cotidiano,25.14,35,buena,F,22,norte
104,SPK00104,oración,SPK00104_00104.wav,"Taykaja jisk’a uwixanakapa panpana jakhü, Wila masija phayañataki uta manqhana mathapiwipxi, Suxtiri yatiñankiri yatiqirinakaxa futbula yatiqaña utana anatapxatayna, ","Mi madre cuenta en el campo sus ovejas pequeñas, Mi familia se reúne dentro de la casa para cocinar,Los niños del sexto grado habían jugado futbol en la escuela, ",cotidiano,18.04,35,buena,F,22,norte
105,SPK00105,palabra,SPK00105_00105.wav,"yusa,tujtura, uspitala, uphisyala, phiskala, karsila, lunisa, riluju, juwisa","Dios, doctor, hospital, oficial, fiscal, cárcel, lunes, reloj, juez.",cotidiano,13.37,35,buena,F,22,norte
106,SPK00106,palabra,SPK00106_00106.wav,"Arjintina, Pirü, Wuliwya, Chili, Parawaya, Iwrupa, Ispaña.","Argentina, Perú, Bolivia, Chile, Paraguay, Europa, España.",cotidiano,9.66,35,buena,F,22,norte
107,SPK00107,palabra,SPK00107_00107.wav,"pumat’a, Jilawi, Axura, Sipita, Qhilluyo, Yunkuyu, Muqiwa, Arikipa","Pomata, Ilave, Ácora, Zepita < Sipita, Kelluyo, Yunguyo, Moquegua, Arequipa.",cotidiano,10.68,35,buena,F,22,norte
108,SPK00108,palabra,SPK00108_00108.wav,"Riwuyu, Sisa, Miyila, Uskara, Mariya, Ilutiya, Karlu.","Gregorio, César, Miguel, Óscar, María, Eleuteria, Carlos.",cotidiano,9.78,35,buena,F,22,norte
109,SPK00109,palabra,SPK00109_00109.wav,"sapataki, naya, juma, jupa, jiwasa.","singular, yo, tu, el, nosotros.",cotidiano,5.88,35,buena,F,22,norte
110,SPK00110,palabra,SPK00110_00110.wav,"Waljanitaki, nanaka, jumanaka, jupanaka, jiwasanaka.","Plural, nosotros, ustedes, ellos,vosotros.",cotidiano,08.09,35,buena,F,22,norte
